"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Canada","2016A000011124","Employment","Males","55 to 59 years","Persons","249","thousands","3","v2091298","1.3.2.17","1010.7","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","55 to 59 years","Persons","249","thousands","3","v2091298","1.3.2.17","1026.1","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","55 to 59 years","Persons","249","thousands","3","v2091298","1.3.2.17","1032.3","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","55 to 59 years","Persons","249","thousands","3","v2091298","1.3.2.17","1020.4","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","60 to 64 years","Persons","249","thousands","3","v2091299","1.3.2.18","758.2","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","60 to 64 years","Persons","249","thousands","3","v2091299","1.3.2.18","762.5","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","60 to 64 years","Persons","249","thousands","3","v2091299","1.3.2.18","756.8","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","60 to 64 years","Persons","249","thousands","3","v2091299","1.3.2.18","765.9","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","60 to 64 years","Persons","249","thousands","3","v2091299","1.3.2.18","771.8","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","65 years and over","Persons","249","thousands","3","v2091300","1.3.2.19","554.9","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","65 years and over","Persons","249","thousands","3","v2091300","1.3.2.19","539.4","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","65 years and over","Persons","249","thousands","3","v2091300","1.3.2.19","542.9","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","65 years and over","Persons","249","thousands","3","v2091300","1.3.2.19","562.1","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","65 years and over","Persons","249","thousands","3","v2091300","1.3.2.19","556.1","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","65 to 69 years","Persons","249","thousands","3","v2091301","1.3.2.20","329.0","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","65 to 69 years","Persons","249","thousands","3","v2091301","1.3.2.20","316.6","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","65 to 69 years","Persons","249","thousands","3","v2091301","1.3.2.20","325.9","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","65 to 69 years","Persons","249","thousands","3","v2091301","1.3.2.20","346.3","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","65 to 69 years","Persons","249","thousands","3","v2091301","1.3.2.20","337.7","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","70 years and over","Persons","249","thousands","3","v2091302","1.3.2.21","225.8","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","70 years and over","Persons","249","thousands","3","v2091302","1.3.2.21","222.7","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","70 years and over","Persons","249","thousands","3","v2091302","1.3.2.21","217.1","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","70 years and over","Persons","249","thousands","3","v2091302","1.3.2.21","215.8","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","70 years and over","Persons","249","thousands","3","v2091302","1.3.2.21","218.4","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","15 years and over","Persons","249","thousands","3","v2091492","1.3.3.1","9046.6","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","15 years and over","Persons","249","thousands","3","v2091492","1.3.3.1","8948.1","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","15 years and over","Persons","249","thousands","3","v2091492","1.3.3.1","8972.6","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","15 years and over","Persons","249","thousands","3","v2091492","1.3.3.1","9093.4","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","15 years and over","Persons","249","thousands","3","v2091492","1.3.3.1","9101.2","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","15 to 24 years","Persons","249","thousands","3","v2091493","1.3.3.2","1312.6","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","15 to 24 years","Persons","249","thousands","3","v2091493","1.3.3.2","1405.9","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","15 to 24 years","Persons","249","thousands","3","v2091493","1.3.3.2","1405.4","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","15 to 24 years","Persons","249","thousands","3","v2091493","1.3.3.2","1237.7","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","15 to 24 years","Persons","249","thousands","3","v2091493","1.3.3.2","1253.1","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","25 years and over","Persons","249","thousands","3","v2091494","1.3.3.3","7734.0","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","25 years and over","Persons","249","thousands","3","v2091494","1.3.3.3","7542.2","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","25 years and over","Persons","249","thousands","3","v2091494","1.3.3.3","7567.2","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","25 years and over","Persons","249","thousands","3","v2091494","1.3.3.3","7855.6","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","25 years and over","Persons","249","thousands","3","v2091494","1.3.3.3","7848.1","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","25 to 44 years","Persons","249","thousands","3","v2091495","1.3.3.4","3989.1","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","25 to 44 years","Persons","249","thousands","3","v2091495","1.3.3.4","3928.4","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","25 to 44 years","Persons","249","thousands","3","v2091495","1.3.3.4","3928.6","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","25 to 44 years","Persons","249","thousands","3","v2091495","1.3.3.4","4087.8","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","25 to 44 years","Persons","249","thousands","3","v2091495","1.3.3.4","4086.0","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","45 to 64 years","Persons","249","thousands","3","v19650590","1.3.3.22","3407.8","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","45 to 64 years","Persons","249","thousands","3","v19650590","1.3.3.22","3292.9","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","45 to 64 years","Persons","249","thousands","3","v19650590","1.3.3.22","3323.4","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","45 to 64 years","Persons","249","thousands","3","v19650590","1.3.3.22","3445.8","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","45 to 64 years","Persons","249","thousands","3","v19650590","1.3.3.22","3439.0","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","45 years and over","Persons","249","thousands","3","v2091496","1.3.3.5","3744.9","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","45 years and over","Persons","249","thousands","3","v2091496","1.3.3.5","3613.8","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","45 years and over","Persons","249","thousands","3","v2091496","1.3.3.5","3638.6","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","45 years and over","Persons","249","thousands","3","v2091496","1.3.3.5","3767.9","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","45 years and over","Persons","249","thousands","3","v2091496","1.3.3.5","3762.1","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","25 to 54 years","Persons","249","thousands","3","v2091497","1.3.3.6","5877.0","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","25 to 54 years","Persons","249","thousands","3","v2091497","1.3.3.6","5765.9","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","25 to 54 years","Persons","249","thousands","3","v2091497","1.3.3.6","5777.1","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","25 to 54 years","Persons","249","thousands","3","v2091497","1.3.3.6","6000.6","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","25 to 54 years","Persons","249","thousands","3","v2091497","1.3.3.6","6007.6","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","55 years and over","Persons","249","thousands","3","v2091498","1.3.3.7","1857.0","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","55 years and over","Persons","249","thousands","3","v2091498","1.3.3.7","1776.3","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","55 years and over","Persons","249","thousands","3","v2091498","1.3.3.7","1790.1","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","55 years and over","Persons","249","thousands","3","v2091498","1.3.3.7","1855.0","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","55 years and over","Persons","249","thousands","3","v2091498","1.3.3.7","1840.5","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","15 to 64 years","Persons","249","thousands","3","v2091499","1.3.3.8","8709.5","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","15 to 64 years","Persons","249","thousands","3","v2091499","1.3.3.8","8627.2","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","15 to 64 years","Persons","249","thousands","3","v2091499","1.3.3.8","8657.4","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","15 to 64 years","Persons","249","thousands","3","v2091499","1.3.3.8","8771.3","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","15 to 64 years","Persons","249","thousands","3","v2091499","1.3.3.8","8778.0","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","15 to 19 years","Persons","249","thousands","3","v2091500","1.3.3.9","466.2","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","15 to 19 years","Persons","249","thousands","3","v2091500","1.3.3.9","546.7","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","15 to 19 years","Persons","249","thousands","3","v2091500","1.3.3.9","554.5","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","15 to 19 years","Persons","249","thousands","3","v2091500","1.3.3.9","455.9","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","15 to 19 years","Persons","249","thousands","3","v2091500","1.3.3.9","463.7","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","20 to 24 years","Persons","249","thousands","3","v2091501","1.3.3.10","846.3","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","20 to 24 years","Persons","249","thousands","3","v2091501","1.3.3.10","859.3","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","20 to 24 years","Persons","249","thousands","3","v2091501","1.3.3.10","850.9","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","20 to 24 years","Persons","249","thousands","3","v2091501","1.3.3.10","781.9","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","20 to 24 years","Persons","249","thousands","3","v2091501","1.3.3.10","789.4","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","25 to 29 years","Persons","249","thousands","3","v2091502","1.3.3.11","987.4","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","25 to 29 years","Persons","249","thousands","3","v2091502","1.3.3.11","963.9","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","25 to 29 years","Persons","249","thousands","3","v2091502","1.3.3.11","968.7","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","25 to 29 years","Persons","249","thousands","3","v2091502","1.3.3.11","1000.4","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","25 to 29 years","Persons","249","thousands","3","v2091502","1.3.3.11","985.2","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","30 to 34 years","Persons","249","thousands","3","v2091503","1.3.3.12","1017.0","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","30 to 34 years","Persons","249","thousands","3","v2091503","1.3.3.12","1014.8","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","30 to 34 years","Persons","249","thousands","3","v2091503","1.3.3.12","994.0","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","30 to 34 years","Persons","249","thousands","3","v2091503","1.3.3.12","1043.5","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","30 to 34 years","Persons","249","thousands","3","v2091503","1.3.3.12","1048.0","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","35 to 39 years","Persons","249","thousands","3","v2091504","1.3.3.13","992.6","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","35 to 39 years","Persons","249","thousands","3","v2091504","1.3.3.13","939.9","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","35 to 39 years","Persons","249","thousands","3","v2091504","1.3.3.13","978.2","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","35 to 39 years","Persons","249","thousands","3","v2091504","1.3.3.13","991.2","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","35 to 39 years","Persons","249","thousands","3","v2091504","1.3.3.13","998.7","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","40 to 44 years","Persons","249","thousands","3","v2091505","1.3.3.14","992.1","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","40 to 44 years","Persons","249","thousands","3","v2091505","1.3.3.14","1009.8","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","40 to 44 years","Persons","249","thousands","3","v2091505","1.3.3.14","987.7","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","40 to 44 years","Persons","249","thousands","3","v2091505","1.3.3.14","1052.6","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","40 to 44 years","Persons","249","thousands","3","v2091505","1.3.3.14","1054.1","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","45 to 49 years","Persons","249","thousands","3","v2091506","1.3.3.15","929.1","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","45 to 49 years","Persons","249","thousands","3","v2091506","1.3.3.15","890.1","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","45 to 49 years","Persons","249","thousands","3","v2091506","1.3.3.15","884.2","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","45 to 49 years","Persons","249","thousands","3","v2091506","1.3.3.15","913.1","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","45 to 49 years","Persons","249","thousands","3","v2091506","1.3.3.15","913.1","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","50 to 54 years","Persons","249","thousands","3","v2091507","1.3.3.16","958.8","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","50 to 54 years","Persons","249","thousands","3","v2091507","1.3.3.16","947.4","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","50 to 54 years","Persons","249","thousands","3","v2091507","1.3.3.16","964.3","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","50 to 54 years","Persons","249","thousands","3","v2091507","1.3.3.16","999.8","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","50 to 54 years","Persons","249","thousands","3","v2091507","1.3.3.16","1008.5","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","55 to 59 years","Persons","249","thousands","3","v2091508","1.3.3.17","883.1","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","55 to 59 years","Persons","249","thousands","3","v2091508","1.3.3.17","859.8","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","55 to 59 years","Persons","249","thousands","3","v2091508","1.3.3.17","865.5","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","55 to 59 years","Persons","249","thousands","3","v2091508","1.3.3.17","894.4","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","55 to 59 years","Persons","249","thousands","3","v2091508","1.3.3.17","889.9","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","60 to 64 years","Persons","249","thousands","3","v2091509","1.3.3.18","636.7","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","60 to 64 years","Persons","249","thousands","3","v2091509","1.3.3.18","595.6","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","60 to 64 years","Persons","249","thousands","3","v2091509","1.3.3.18","609.4","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","60 to 64 years","Persons","249","thousands","3","v2091509","1.3.3.18","638.6","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","60 to 64 years","Persons","249","thousands","3","v2091509","1.3.3.18","627.4","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","65 years and over","Persons","249","thousands","3","v2091510","1.3.3.19","337.1","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","65 years and over","Persons","249","thousands","3","v2091510","1.3.3.19","320.9","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","65 years and over","Persons","249","thousands","3","v2091510","1.3.3.19","315.2","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","65 years and over","Persons","249","thousands","3","v2091510","1.3.3.19","322.0","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","65 years and over","Persons","249","thousands","3","v2091510","1.3.3.19","323.2","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","65 to 69 years","Persons","249","thousands","3","v2091511","1.3.3.20","233.4","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","65 to 69 years","Persons","249","thousands","3","v2091511","1.3.3.20","221.6","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","65 to 69 years","Persons","249","thousands","3","v2091511","1.3.3.20","219.8","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","65 to 69 years","Persons","249","thousands","3","v2091511","1.3.3.20","230.5","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","65 to 69 years","Persons","249","thousands","3","v2091511","1.3.3.20","227.4","","","","1"
"2021-06","Canada","2016A000011124","Employment","Females","70 years and over","Persons","249","thousands","3","v2091512","1.3.3.21","103.7","","","","1"
"2021-07","Canada","2016A000011124","Employment","Females","70 years and over","Persons","249","thousands","3","v2091512","1.3.3.21","99.4","","","","1"
"2021-08","Canada","2016A000011124","Employment","Females","70 years and over","Persons","249","thousands","3","v2091512","1.3.3.21","95.4","","","","1"
"2021-09","Canada","2016A000011124","Employment","Females","70 years and over","Persons","249","thousands","3","v2091512","1.3.3.21","91.5","","","","1"
"2021-10","Canada","2016A000011124","Employment","Females","70 years and over","Persons","249","thousands","3","v2091512","1.3.3.21","95.8","","","","1"


