"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-09","Canada","2016A000011124","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v2091078","1.3.1.7","4215.2","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v2091078","1.3.1.7","4188.7","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","18267.5","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","18283.6","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","18322.8","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","18331.1","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","15 to 64 years","Persons","249","thousands","3","v2091079","1.3.1.8","18345.6","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","951.1","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","1113.2","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","1088.6","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","874.8","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","15 to 19 years","Persons","249","thousands","3","v2091080","1.3.1.9","873.3","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","20 to 24 years","Persons","249","thousands","3","v2091081","1.3.1.10","1735.1","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","20 to 24 years","Persons","249","thousands","3","v2091081","1.3.1.10","1773.0","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","20 to 24 years","Persons","249","thousands","3","v2091081","1.3.1.10","1766.0","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","20 to 24 years","Persons","249","thousands","3","v2091081","1.3.1.10","1607.4","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","20 to 24 years","Persons","249","thousands","3","v2091081","1.3.1.10","1617.6","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","25 to 29 years","Persons","249","thousands","3","v2091082","1.3.1.11","2058.4","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","25 to 29 years","Persons","249","thousands","3","v2091082","1.3.1.11","2027.0","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","25 to 29 years","Persons","249","thousands","3","v2091082","1.3.1.11","2048.2","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","25 to 29 years","Persons","249","thousands","3","v2091082","1.3.1.11","2086.6","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","25 to 29 years","Persons","249","thousands","3","v2091082","1.3.1.11","2068.0","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","30 to 34 years","Persons","249","thousands","3","v2091083","1.3.1.12","2152.3","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","30 to 34 years","Persons","249","thousands","3","v2091083","1.3.1.12","2160.4","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","30 to 34 years","Persons","249","thousands","3","v2091083","1.3.1.12","2147.6","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","30 to 34 years","Persons","249","thousands","3","v2091083","1.3.1.12","2212.2","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","30 to 34 years","Persons","249","thousands","3","v2091083","1.3.1.12","2242.1","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","35 to 39 years","Persons","249","thousands","3","v2091084","1.3.1.13","2117.3","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","35 to 39 years","Persons","249","thousands","3","v2091084","1.3.1.13","2055.2","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","35 to 39 years","Persons","249","thousands","3","v2091084","1.3.1.13","2090.0","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","35 to 39 years","Persons","249","thousands","3","v2091084","1.3.1.13","2137.4","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","35 to 39 years","Persons","249","thousands","3","v2091084","1.3.1.13","2137.1","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","40 to 44 years","Persons","249","thousands","3","v2091085","1.3.1.14","2066.8","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","40 to 44 years","Persons","249","thousands","3","v2091085","1.3.1.14","2087.3","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","40 to 44 years","Persons","249","thousands","3","v2091085","1.3.1.14","2077.2","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","40 to 44 years","Persons","249","thousands","3","v2091085","1.3.1.14","2148.6","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","40 to 44 years","Persons","249","thousands","3","v2091085","1.3.1.14","2163.1","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","45 to 49 years","Persons","249","thousands","3","v2091086","1.3.1.15","1900.4","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","45 to 49 years","Persons","249","thousands","3","v2091086","1.3.1.15","1878.2","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","45 to 49 years","Persons","249","thousands","3","v2091086","1.3.1.15","1865.3","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","45 to 49 years","Persons","249","thousands","3","v2091086","1.3.1.15","1908.5","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","45 to 49 years","Persons","249","thousands","3","v2091086","1.3.1.15","1884.6","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","50 to 54 years","Persons","249","thousands","3","v2091087","1.3.1.16","1992.9","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","50 to 54 years","Persons","249","thousands","3","v2091087","1.3.1.16","1960.7","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","50 to 54 years","Persons","249","thousands","3","v2091087","1.3.1.16","1982.0","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","50 to 54 years","Persons","249","thousands","3","v2091087","1.3.1.16","2024.3","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","50 to 54 years","Persons","249","thousands","3","v2091087","1.3.1.16","2050.2","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","55 to 59 years","Persons","249","thousands","3","v2091088","1.3.1.17","1898.3","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","55 to 59 years","Persons","249","thousands","3","v2091088","1.3.1.17","1870.5","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","55 to 59 years","Persons","249","thousands","3","v2091088","1.3.1.17","1891.6","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","55 to 59 years","Persons","249","thousands","3","v2091088","1.3.1.17","1926.7","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","55 to 59 years","Persons","249","thousands","3","v2091088","1.3.1.17","1910.3","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","60 to 64 years","Persons","249","thousands","3","v2091089","1.3.1.18","1394.9","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","60 to 64 years","Persons","249","thousands","3","v2091089","1.3.1.18","1358.1","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","60 to 64 years","Persons","249","thousands","3","v2091089","1.3.1.18","1366.3","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","60 to 64 years","Persons","249","thousands","3","v2091089","1.3.1.18","1404.4","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","60 to 64 years","Persons","249","thousands","3","v2091089","1.3.1.18","1399.2","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","65 years and over","Persons","249","thousands","3","v2091090","1.3.1.19","892.0","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","65 years and over","Persons","249","thousands","3","v2091090","1.3.1.19","860.3","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","65 years and over","Persons","249","thousands","3","v2091090","1.3.1.19","858.1","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","65 years and over","Persons","249","thousands","3","v2091090","1.3.1.19","884.1","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","65 years and over","Persons","249","thousands","3","v2091090","1.3.1.19","879.2","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","65 to 69 years","Persons","249","thousands","3","v2091091","1.3.1.20","562.4","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","65 to 69 years","Persons","249","thousands","3","v2091091","1.3.1.20","538.2","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","65 to 69 years","Persons","249","thousands","3","v2091091","1.3.1.20","545.6","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","65 to 69 years","Persons","249","thousands","3","v2091091","1.3.1.20","576.8","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","65 to 69 years","Persons","249","thousands","3","v2091091","1.3.1.20","565.1","","","","1"
"2021-06","Canada","2016A000011124","Employment","Both sexes","70 years and over","Persons","249","thousands","3","v2091092","1.3.1.21","329.6","","","","1"
"2021-07","Canada","2016A000011124","Employment","Both sexes","70 years and over","Persons","249","thousands","3","v2091092","1.3.1.21","322.1","","","","1"
"2021-08","Canada","2016A000011124","Employment","Both sexes","70 years and over","Persons","249","thousands","3","v2091092","1.3.1.21","312.5","","","","1"
"2021-09","Canada","2016A000011124","Employment","Both sexes","70 years and over","Persons","249","thousands","3","v2091092","1.3.1.21","307.3","","","","1"
"2021-10","Canada","2016A000011124","Employment","Both sexes","70 years and over","Persons","249","thousands","3","v2091092","1.3.1.21","314.2","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","15 years and over","Persons","249","thousands","3","v2091282","1.3.2.1","10112.9","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","15 years and over","Persons","249","thousands","3","v2091282","1.3.2.1","10195.8","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","15 years and over","Persons","249","thousands","3","v2091282","1.3.2.1","10208.3","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","15 years and over","Persons","249","thousands","3","v2091282","1.3.2.1","10121.8","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","15 years and over","Persons","249","thousands","3","v2091282","1.3.2.1","10123.7","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","15 to 24 years","Persons","249","thousands","3","v2091283","1.3.2.2","1373.7","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","15 to 24 years","Persons","249","thousands","3","v2091283","1.3.2.2","1480.2","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","15 to 24 years","Persons","249","thousands","3","v2091283","1.3.2.2","1449.3","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","15 to 24 years","Persons","249","thousands","3","v2091283","1.3.2.2","1244.5","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","15 to 24 years","Persons","249","thousands","3","v2091283","1.3.2.2","1237.8","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","25 years and over","Persons","249","thousands","3","v2091284","1.3.2.3","8739.2","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","25 years and over","Persons","249","thousands","3","v2091284","1.3.2.3","8715.6","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","25 years and over","Persons","249","thousands","3","v2091284","1.3.2.3","8759.0","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","25 years and over","Persons","249","thousands","3","v2091284","1.3.2.3","8877.3","","","","1"
